source;target;kind;labels
GPS;Ethernet_Gateway;Component;Signal_Status
IMU;Ethernet_Gateway;Component;Signal_Status
Weather_Station;Ethernet_Gateway;Component;Signal_Status
RGB_Camera;Ethernet_Gateway;Component;Signal_Status
IR_Camera;Ethernet_Gateway;Component;Signal_Status
Lidar;Ethernet_Gateway;Component;Signal_Status
Sonar_System;Ethernet_Gateway;Component;Signal_Status
Depth_Sensor;Ethernet_Gateway;Component;Signal_Status
Speed_Log;Ethernet_Gateway;Component;Signal_Status
VHF_Channel;AIS_Transceiver;Component;Signal_Status
Ethernet_Switch;Workstation_Pc;Component;Signal_Status
AIS_Transceiver;VHF_Channel;Component;Signal_Status
Workstation_Pc;Bow_Thruster_Controller;Component;Signal_Control
Workstation_Pc;Peplink_Router;Component;Signal_Status
Bow_Thruster_Controller;Bow_Thruster;Component;Signal_Control
Stern_Drive_Motor;Vessel_Hull;Component;Spatial
Stern_Drive_Steering_Motor;Vessel_Hull;Component;Spatial
RGB_Camera;Vessel_Hull;Component;Spatial
IR_Camera;Vessel_Hull;Component;Spatial
Lidar;Vessel_Hull;Component;Spatial
Bow_Thruster;Vessel_Hull;Component;Spatial
AIS_Transceiver;Ethernet_Gateway;Component;Signal_Status
24V_Bus_Tie;24V_Battery;Component;Signal_Control
