source;target;kind;labels
Peplink_Router;GPS;Component;Signal_Status
Manual_Throttle;Stern_Drive_Motor_Controller;Component;Signal_Control
Manual_Steering;Stern_Drive_Steering_Controller;Component;Signal_Control
Manual_Steering;Bow_Thruster_Controller;Component;Signal_Control
VHF_Channel;AIS_Transceiver;Component;Signal_Status
AIS_Transceiver;VHF_Channel;Component;Signal_Status
Decision_Making_Algorithm;Bow_Thruster_Controller;Component;Signal_Control
Bow_Thruster_Controller;Bow_Thruster;Component;Signal_Control
Stern_Drive_Motor;Vessel_Hull;Component;Spatial
Stern_Drive_Steering_Motor;Vessel_Hull;Component;Spatial
RGB_Camera;Vessel_Hull;Component;Spatial
IR_Camera;Vessel_Hull;Component;Spatial
Lidar;Vessel_Hull;Component;Spatial
Bow_Thruster;Vessel_Hull;Component;Spatial
Decision_Making_Algorithm;Peplink_Router;Component;Signal_Status
Peplink_Router;Weather_Station;Component;Signal_Status
24V_Bus_Tie;24V_Battery;Component;Signal_Control
